Date,Volume
2003-12-22,1251700000
2003-12-23,1145300000
2003-12-24,518060000
2003-12-26,356070000
2003-12-29,1058800000
2003-12-30,1012600000
2003-12-31,1027500000
2004-01-02,1153200000
2004-01-05,1578200000
2004-01-06,1494500000
2004-01-07,1704900000
2004-01-08,1868400000
2004-01-09,1720700000
2004-01-12,1510200000
2004-01-13,1595900000
2004-01-14,1514600000
2004-01-15,1695000000
2004-01-16,1721100000
2004-01-20,1698200000
2004-01-21,1757600000
2004-01-22,1693700000
2004-01-23,1561200000
2004-01-26,1480600000
2004-01-27,1673100000
2004-01-28,1842000000
2004-01-29,1921900000
2004-01-30,1635000000
2004-02-02,1599200000
2004-02-03,1476900000
2004-02-04,1634800000
2004-02-05,1566600000
2004-02-06,1477600000
2004-02-09,1303500000
2004-02-10,1403900000
2004-02-11,1699300000
2004-02-12,1464300000
2004-02-13,1329200000
2004-02-17,1396500000
2004-02-18,1382400000
2004-02-19,1562800000
2004-02-20,1479600000
2004-02-23,1380400000
2004-02-24,1543600000
2004-02-25,1360700000
2004-02-26,1383900000
2004-02-27,1540400000
2004-03-01,1497100000
2004-03-02,1476000000
2004-03-03,1334500000
2004-03-04,1265800000
2004-03-05,1398200000
2004-03-08,1254400000
2004-03-09,1499400000
2004-03-10,1648400000
2004-03-11,1889900000
2004-03-12,1388500000
2004-03-15,1600600000
2004-03-16,1500700000
2004-03-17,1490100000
2004-03-18,1369200000
2004-03-19,1457400000
2004-03-22,1452300000
2004-03-23,1458200000
2004-03-24,1527800000
2004-03-25,1471700000
2004-03-26,1319100000
2004-03-29,1405500000
2004-03-30,1332400000
2004-03-31,1560700000
2004-04-01,1560700000
2004-04-02,1629200000
2004-04-05,1413700000
2004-04-06,1397700000
2004-04-07,1458800000
2004-04-08,1199800000
2004-04-12,1102400000
2004-04-13,1423200000
2004-04-14,1547700000
2004-04-15,1568700000
2004-04-16,1487800000
2004-04-19,1194900000
2004-04-20,1508500000
2004-04-21,1738100000
2004-04-22,1826700000
2004-04-23,1396100000
2004-04-26,1290600000
2004-04-27,1518000000
2004-04-28,1855600000
2004-04-29,1859000000
2004-04-30,1634700000
2004-05-03,1571600000
2004-05-04,1662100000
2004-05-05,1469000000
2004-05-06,1509300000
2004-05-07,1653600000
2004-05-10,1918400000
2004-05-11,1533800000
2004-05-12,1697600000
2004-05-13,1411100000
2004-05-14,1335900000
2004-05-17,1430100000
2004-05-18,1353000000
2004-05-19,1548600000
2004-05-20,1211000000
2004-05-21,1258600000
2004-05-24,1227500000
2004-05-25,1545700000
2004-05-26,1369400000
2004-05-27,1447500000
2004-05-28,1172600000
2004-06-01,1238000000
2004-06-02,1251700000
2004-06-03,1232400000
2004-06-04,1115300000
2004-06-07,1211800000
2004-06-08,1190300000
2004-06-09,1276800000
2004-06-10,1160600000
2004-06-14,1179400000
2004-06-15,1345900000
2004-06-16,1168400000
2004-06-17,1296700000
2004-06-18,1500600000
2004-06-21,1123900000
2004-06-22,1382300000
2004-06-23,1444200000
2004-06-24,1394900000
2004-06-25,1812900000
2004-06-28,1354600000
2004-06-29,1375000000
2004-06-30,1473800000
2004-07-01,1495700000
2004-07-02,1085000000
2004-07-06,1283300000
2004-07-07,1328600000
2004-07-08,1401100000
2004-07-09,1186300000
2004-07-12,1114600000
2004-07-13,1199700000
2004-07-14,1462000000
2004-07-15,1408700000
2004-07-16,1450300000
2004-07-19,1319900000
2004-07-20,1445800000
2004-07-21,1679500000
2004-07-22,1680800000
2004-07-23,1337500000
2004-07-26,1413400000
2004-07-27,1610800000
2004-07-28,1554300000
2004-07-29,1530100000
2004-07-30,1298200000
2004-08-02,1276000000
2004-08-03,1338300000
2004-08-04,1369200000
2004-08-05,1397400000
2004-08-06,1521000000
2004-08-09,1086000000
2004-08-10,1245600000
2004-08-11,1410400000
2004-08-12,1405100000
2004-08-13,1175100000
2004-08-16,1206200000
2004-08-17,1267800000
2004-08-18,1282500000
2004-08-19,1249400000
